VNIR,SWIR
01436-VNIR-royal,01558-SWIR-royal
01437-VNIR-royal,01559-SWIR-royal
01438-VNIR-royal,01560-SWIR-royal
01439-VNIR-royal,01561-SWIR-royal
01440-VNIR-royal,01562-SWIR-royal
01441-VNIR-royal,01563-SWIR-royal
01442-VNIR-royal,01564-SWIR-royal
01443-VNIR-royal,01565-SWIR-royal
01444-VNIR-royal,01566-SWIR-royal
01445-VNIR-royal,01567-SWIR-royal
01446-VNIR-royal,01568-SWIR-royal
01447-VNIR-royal,01569-SWIR-royal
01448-VNIR-royal,01570-SWIR-royal
01449-VNIR-royal,01571-SWIR-royal
01450-VNIR-royal,01572-SWIR-royal
01451-VNIR-royal,01573-SWIR-royal
01452-VNIR-royal,01574-SWIR-royal
01453-VNIR-royal,01575-SWIR-royal
01454-VNIR-royal,01576-SWIR-royal
01455-VNIR-royal,01577-SWIR-royal
01456-VNIR-royal,01578-SWIR-royal
01457-VNIR-royal,01579-SWIR-royal
01458-VNIR-royal,01580-SWIR-royal
01459-VNIR-royal,01581-SWIR-royal
01460-VNIR-royal,01582-SWIR-royal
01461-VNIR-royal,01583-SWIR-royal
01462-VNIR-royal,01584-SWIR-royal
01463-VNIR-royal,01585-SWIR-royal
01464-VNIR-royal,01586-SWIR-royal
01465-VNIR-royal,01587-SWIR-royal
01466-VNIR-royal,01588-SWIR-royal
01467-VNIR-royal,01589-SWIR-royal
01468-VNIR-royal,01590-SWIR-royal
01469-VNIR-royal,01591-SWIR-royal
01470-VNIR-royal,01592-SWIR-royal
01471-VNIR-royal,01593-SWIR-royal
01472-VNIR-royal,01594-SWIR-royal
01473-VNIR-royal,01595-SWIR-royal
01474-VNIR-royal,01596-SWIR-royal
01475-VNIR-royal,01597-SWIR-royal
01476-VNIR-royal,01598-SWIR-royal
01477-VNIR-royal,01599-SWIR-royal
01478-VNIR-royal,01600-SWIR-royal
01479-VNIR-royal,01601-SWIR-royal
01480-VNIR-royal,01602-SWIR-royal
01481-VNIR-royal,01603-SWIR-royal
01482-VNIR-royal,01604-SWIR-royal
01483-VNIR-royal,01605-SWIR-royal
01484-VNIR-royal,01606-SWIR-royal
01485-VNIR-royal,01607-SWIR-royal
01486-VNIR-royal,01608-SWIR-royal
01487-VNIR-royal,01609-SWIR-royal
01488-VNIR-royal,01610-SWIR-royal
01489-VNIR-royal,01611-SWIR-royal
01490-VNIR-royal,01612-SWIR-royal
01491-VNIR-royal,01613-SWIR-royal
01492-VNIR-royal,01614-SWIR-royal
01493-VNIR-royal,01615-SWIR-royal
01616-VNIR-genealogies,01649-SWIR-genealogies
01617-VNIR-genealogies,01650-SWIR-genealogies
01618-VNIR-genealogies,01651-SWIR-genealogies
01619-VNIR-genealogies,01652-SWIR-genealogies
01620-VNIR-genealogies,01653-SWIR-genealogies
01621-VNIR-genealogies,01654-SWIR-genealogies
01622-VNIR-genealogies,01655-SWIR-genealogies
01623-VNIR-genealogies,01656-SWIR-genealogies
01624-VNIR-genealogies,01657-SWIR-genealogies
01625-VNIR-genealogies,01658-SWIR-genealogies
01626-VNIR-genealogies,01659-SWIR-genealogies
01627-VNIR-genealogies,01660-SWIR-genealogies
01628-VNIR-genealogies,01661-SWIR-genealogies
01629-VNIR-genealogies,01662-SWIR-genealogies
01630-VNIR-genealogies,01663-SWIR-genealogies
01631-VNIR-genealogies,01664-SWIR-genealogies
01632-VNIR-genealogies,01665-SWIR-genealogies
01633-VNIR-genealogies,01666-SWIR-genealogies
01634-VNIR-genealogies,01667-SWIR-genealogies
01635-VNIR-genealogies,01668-SWIR-genealogies
01636-VNIR-genealogies,01669-SWIR-genealogies
01637-VNIR-genealogies,01670-SWIR-genealogies
01638-VNIR-genealogies,01671-SWIR-genealogies
01639-VNIR-genealogies,01672-SWIR-genealogies
01640-VNIR-genealogies,01673-SWIR-genealogies
01641-VNIR-genealogies,01674-SWIR-genealogies
01644-VNIR-genealogies,01677-SWIR-genealogies
01645-VNIR-genealogies,01678-SWIR-genealogies
01646-VNIR-genealogies,01679-SWIR-genealogies
01647-VNIR-genealogies,01680-SWIR-genealogies
01648-VNIR-genealogies,01681-SWIR-genealogies
